"Country","Resistance","Year","Pathogen","SourceFile"
"Italy",24.5,2013,"P aeruginosa","percentage-p-aeruginosa-combined-resistance-2013.xlsx"
"Latvia",24,2013,"P aeruginosa","percentage-p-aeruginosa-combined-resistance-2013.xlsx"
"Lithuania",8.1,2013,"P aeruginosa","percentage-p-aeruginosa-combined-resistance-2013.xlsx"
"Luxembourg",5.9,2013,"P aeruginosa","percentage-p-aeruginosa-combined-resistance-2013.xlsx"
"Malta",8,2013,"P aeruginosa","percentage-p-aeruginosa-combined-resistance-2013.xlsx"
"Netherlands",2.4,2013,"P aeruginosa","percentage-p-aeruginosa-combined-resistance-2013.xlsx"
"Norway",3.4,2013,"P aeruginosa","percentage-p-aeruginosa-combined-resistance-2013.xlsx"
"Poland",14.3,2013,"P aeruginosa","percentage-p-aeruginosa-combined-resistance-2013.xlsx"
"Portugal",11.9,2013,"P aeruginosa","percentage-p-aeruginosa-combined-resistance-2013.xlsx"
"Romania",49.4,2013,"P aeruginosa","percentage-p-aeruginosa-combined-resistance-2013.xlsx"
"Slovakia",36.1,2013,"P aeruginosa","percentage-p-aeruginosa-combined-resistance-2013.xlsx"
"Slovenia",11.3,2013,"P aeruginosa","percentage-p-aeruginosa-combined-resistance-2013.xlsx"
"Spain",12.2,2013,"P aeruginosa","percentage-p-aeruginosa-combined-resistance-2013.xlsx"
"Sweden",4.1,2013,"P aeruginosa","percentage-p-aeruginosa-combined-resistance-2013.xlsx"
"United Kingdom",2.4,2013,"P aeruginosa","percentage-p-aeruginosa-combined-resistance-2013.xlsx"
"Denmark",0,2014,"Acinetobacter","percentage-acinetobacter-combined-resistance-2014.xlsx"
"Finland",0,2014,"Acinetobacter","percentage-acinetobacter-combined-resistance-2014.xlsx"
"Netherlands",0,2014,"Acinetobacter","percentage-acinetobacter-combined-resistance-2014.xlsx"
"Ireland",1.26582,2014,"Acinetobacter","percentage-acinetobacter-combined-resistance-2014.xlsx"
"France",1.53453,2014,"Acinetobacter","percentage-acinetobacter-combined-resistance-2014.xlsx"
"United Kingdom",1.68067,2014,"Acinetobacter","percentage-acinetobacter-combined-resistance-2014.xlsx"
"Germany",2.12766,2014,"Acinetobacter","percentage-acinetobacter-combined-resistance-2014.xlsx"
"Austria",2.7027,2014,"Acinetobacter","percentage-acinetobacter-combined-resistance-2014.xlsx"
"Sweden",2.77778,2014,"Acinetobacter","percentage-acinetobacter-combined-resistance-2014.xlsx"
"Norway",3.0303,2014,"Acinetobacter","percentage-acinetobacter-combined-resistance-2014.xlsx"
"Czech Republic",5.08475,2014,"Acinetobacter","percentage-acinetobacter-combined-resistance-2014.xlsx"
"Malta",10,2014,"Acinetobacter","percentage-acinetobacter-combined-resistance-2014.xlsx"
"Slovakia",24.84472,2014,"Acinetobacter","percentage-acinetobacter-combined-resistance-2014.xlsx"
"Slovenia",26.47059,2014,"Acinetobacter","percentage-acinetobacter-combined-resistance-2014.xlsx"
"Portugal",39.23077,2014,"Acinetobacter","percentage-acinetobacter-combined-resistance-2014.xlsx"
"Hungary",42.00913,2014,"Acinetobacter","percentage-acinetobacter-combined-resistance-2014.xlsx"
"Bulgaria",48.45361,2014,"Acinetobacter","percentage-acinetobacter-combined-resistance-2014.xlsx"
"Spain",56.41026,2014,"Acinetobacter","percentage-acinetobacter-combined-resistance-2014.xlsx"
"Latvia",61.53846,2014,"Acinetobacter","percentage-acinetobacter-combined-resistance-2014.xlsx"
"Lithuania",66.66667,2014,"Acinetobacter","percentage-acinetobacter-combined-resistance-2014.xlsx"
"Cyprus",73.68421,2014,"Acinetobacter","percentage-acinetobacter-combined-resistance-2014.xlsx"
"Romania",77.68595,2014,"Acinetobacter","percentage-acinetobacter-combined-resistance-2014.xlsx"
"Croatia",85.88957,2014,"Acinetobacter","percentage-acinetobacter-combined-resistance-2014.xlsx"
"Italy",86.78815,2014,"Acinetobacter","percentage-acinetobacter-combined-resistance-2014.xlsx"
"Greece",86.90176,2014,"Acinetobacter","percentage-acinetobacter-combined-resistance-2014.xlsx"
"Iceland",1.4,2014,"E coli","percentage-e-coli-combined-resistance-2014.xlsx"
"Denmark",1.9,2014,"E coli","percentage-e-coli-combined-resistance-2014.xlsx"
"Norway",2,2014,"E coli","percentage-e-coli-combined-resistance-2014.xlsx"
"Sweden",2,2014,"E coli","percentage-e-coli-combined-resistance-2014.xlsx"
"Netherlands",2.1,2014,"E coli","percentage-e-coli-combined-resistance-2014.xlsx"
"Finland",2.2,2014,"E coli","percentage-e-coli-combined-resistance-2014.xlsx"
"Latvia",2.5,2014,"E coli","percentage-e-coli-combined-resistance-2014.xlsx"
"Lithuania",2.6,2014,"E coli","percentage-e-coli-combined-resistance-2014.xlsx"
"Austria",2.7,2014,"E coli","percentage-e-coli-combined-resistance-2014.xlsx"
"Germany",3,2014,"E coli","percentage-e-coli-combined-resistance-2014.xlsx"
"Estonia",3.5,2014,"E coli","percentage-e-coli-combined-resistance-2014.xlsx"
"France",3.5,2014,"E coli","percentage-e-coli-combined-resistance-2014.xlsx"
"Belgium",3.7,2014,"E coli","percentage-e-coli-combined-resistance-2014.xlsx"
"Luxembourg",4.1,2014,"E coli","percentage-e-coli-combined-resistance-2014.xlsx"
"United Kingdom",4.4,2014,"E coli","percentage-e-coli-combined-resistance-2014.xlsx"
"Ireland",5,2014,"E coli","percentage-e-coli-combined-resistance-2014.xlsx"
"Spain",5.3,2014,"E coli","percentage-e-coli-combined-resistance-2014.xlsx"
"Croatia",6,2014,"E coli","percentage-e-coli-combined-resistance-2014.xlsx"
"Czech Republic",6.4,2014,"E coli","percentage-e-coli-combined-resistance-2014.xlsx"
"Malta",6.8,2014,"E coli","percentage-e-coli-combined-resistance-2014.xlsx"
"Slovenia",7.2,2014,"E coli","percentage-e-coli-combined-resistance-2014.xlsx"
"Hungary",8.3,2014,"E coli","percentage-e-coli-combined-resistance-2014.xlsx"
"Portugal",8.6,2014,"E coli","percentage-e-coli-combined-resistance-2014.xlsx"
"Greece",10.9,2014,"E coli","percentage-e-coli-combined-resistance-2014.xlsx"
"Cyprus",13.1,2014,"E coli","percentage-e-coli-combined-resistance-2014.xlsx"
"Italy",13.8,2014,"E coli","percentage-e-coli-combined-resistance-2014.xlsx"
"Romania",14.4,2014,"E coli","percentage-e-coli-combined-resistance-2014.xlsx"
"Slovakia",17.1,2014,"E coli","percentage-e-coli-combined-resistance-2014.xlsx"
"Bulgaria",19.7,2014,"E coli","percentage-e-coli-combined-resistance-2014.xlsx"
"Iceland",0,2014,"K pneumoniae","percentage-k-pneumoniae-combined-resistance-2014.xlsx"
"Finland",1.4,2014,"K pneumoniae","percentage-k-pneumoniae-combined-resistance-2014.xlsx"
"Sweden",1.4,2014,"K pneumoniae","percentage-k-pneumoniae-combined-resistance-2014.xlsx"
"Netherlands",2,2014,"K pneumoniae","percentage-k-pneumoniae-combined-resistance-2014.xlsx"
"Denmark",3.1,2014,"K pneumoniae","percentage-k-pneumoniae-combined-resistance-2014.xlsx"
"United Kingdom",3.2,2014,"K pneumoniae","percentage-k-pneumoniae-combined-resistance-2014.xlsx"
"Austria",3.4,2014,"K pneumoniae","percentage-k-pneumoniae-combined-resistance-2014.xlsx"
"Norway",3.9,2014,"K pneumoniae","percentage-k-pneumoniae-combined-resistance-2014.xlsx"
"Germany",5.3,2014,"K pneumoniae","percentage-k-pneumoniae-combined-resistance-2014.xlsx"
"Ireland",7.3,2014,"K pneumoniae","percentage-k-pneumoniae-combined-resistance-2014.xlsx"
"Belgium",7.9,2014,"K pneumoniae","percentage-k-pneumoniae-combined-resistance-2014.xlsx"
"Spain",10,2014,"K pneumoniae","percentage-k-pneumoniae-combined-resistance-2014.xlsx"
"Estonia",11.4,2014,"K pneumoniae","percentage-k-pneumoniae-combined-resistance-2014.xlsx"
"Cyprus",15,2014,"K pneumoniae","percentage-k-pneumoniae-combined-resistance-2014.xlsx"
"Luxembourg",16.7,2014,"K pneumoniae","percentage-k-pneumoniae-combined-resistance-2014.xlsx"
"Slovenia",18.9,2014,"K pneumoniae","percentage-k-pneumoniae-combined-resistance-2014.xlsx"
"Portugal",23,2014,"K pneumoniae","percentage-k-pneumoniae-combined-resistance-2014.xlsx"
"France",23.8,2014,"K pneumoniae","percentage-k-pneumoniae-combined-resistance-2014.xlsx"
"Malta",26.7,2014,"K pneumoniae","percentage-k-pneumoniae-combined-resistance-2014.xlsx"
"Hungary",28.9,2014,"K pneumoniae","percentage-k-pneumoniae-combined-resistance-2014.xlsx"
"Croatia",30.9,2014,"K pneumoniae","percentage-k-pneumoniae-combined-resistance-2014.xlsx"
"Lithuania",35.1,2014,"K pneumoniae","percentage-k-pneumoniae-combined-resistance-2014.xlsx"
"Czech Republic",38.7,2014,"K pneumoniae","percentage-k-pneumoniae-combined-resistance-2014.xlsx"
"Latvia",41.3,2014,"K pneumoniae","percentage-k-pneumoniae-combined-resistance-2014.xlsx"
"Bulgaria",41.7,2014,"K pneumoniae","percentage-k-pneumoniae-combined-resistance-2014.xlsx"
"Italy",44,2014,"K pneumoniae","percentage-k-pneumoniae-combined-resistance-2014.xlsx"
"Romania",56,2014,"K pneumoniae","percentage-k-pneumoniae-combined-resistance-2014.xlsx"
"Greece",56.8,2014,"K pneumoniae","percentage-k-pneumoniae-combined-resistance-2014.xlsx"
"Slovakia",63.3,2014,"K pneumoniae","percentage-k-pneumoniae-combined-resistance-2014.xlsx"
"Estonia",0,2014,"P aeruginosa","percentage-p-aeruginosa-combined-resistance-2014.xlsx"
"Iceland",0,2014,"P aeruginosa","percentage-p-aeruginosa-combined-resistance-2014.xlsx"
"Denmark",1.5,2014,"P aeruginosa","percentage-p-aeruginosa-combined-resistance-2014.xlsx"
"Norway",1.6,2014,"P aeruginosa","percentage-p-aeruginosa-combined-resistance-2014.xlsx"
"Sweden",1.6,2014,"P aeruginosa","percentage-p-aeruginosa-combined-resistance-2014.xlsx"
